Date,Close,High,Low,Open,Volume
8/18/2020,2065.995605,2137.589513,2055.767904,2065.995605,203541200
8/19/2020,2065.995605,2127.361812,2045.540203,2076.223306,159091800
8/24/2020,2086.451172,2106.906576,2065.995768,2076.22347,105466800
8/25/2020,2158.044922,2188.728025,2106.906417,2106.906417,185542800
8/26/2020,2178.500244,2188.727945,2127.361741,2168.272543,145659800
8/27/2020,2168.272705,2219.411212,2147.817302,2178.500407,113335600
8/28/2020,2147.817139,2188.727941,2137.589438,2178.500241,83795800
8/31/2020,2086.451172,2178.500488,2045.540365,2168.272786,251920000
9/1/2020,2117.134033,2117.134033,2055.767829,2106.906333,108883800
9/2/2020,2137.5896,2158.045002,2096.678794,2147.817301,92414800
9/3/2020,2188.728027,2198.955728,2147.817223,2158.044924,267877200
9/4/2020,2137.5896,2147.817301,2096.678794,2147.817301,188192000
9/7/2020,2147.817139,2158.044839,2096.678635,2137.589438,81856400
9/8/2020,2147.817139,2168.27254,2137.589438,2168.27254,45193600
9/9/2020,2055.767822,2117.134026,2055.767822,2106.906325,146843600
9/10/2020,1914.62561,1959.627494,1914.62561,1955.536414,264205400
9/11/2020,1992.356079,1996.447159,1808.257468,1820.530709,242923200
9/14/2020,2065.995605,2065.995605,2008.72048,2037.358043,155021200
9/15/2020,2020.993774,2086.451063,2008.720533,2065.99566,98187400
9/16/2020,1992.356079,2041.449042,1992.356079,2041.449042,60506400
9/17/2020,1930.989868,2000.538232,1922.807708,1988.264991,124173000
9/18/2020,1939.172241,1967.809806,1922.807919,1930.99008,87300200
9/21/2020,1877.805786,1947.354149,1861.441466,1947.354149,88031200
9/22/2020,1857.350586,1898.261392,1824.621941,1840.986264,96480800
9/23/2020,1808.25769,1881.897144,1783.711206,1869.623902,111629000
9/24/2020,1771.437988,1800.075554,1763.255827,1783.711231,101549000
9/25/2020,1881.896851,1881.896851,1783.710928,1783.710928,109984600
9/28/2020,1857.350586,1918.716795,1840.986264,1902.352472,62118800
9/29/2020,1845.077271,1902.352396,1828.712949,1881.896994,84460000
9/30/2020,1816.439575,1865.532537,1787.802014,1861.441457,63903400
10/1/2020,1869.623657,1873.714737,1828.712855,1836.895016,51766000
10/2/2020,1845.077271,1877.805914,1791.893225,1873.714833,61431000
10/5/2020,1890.079224,1890.079224,1840.986257,1857.350579,59714200
10/6/2020,1910.534546,1939.172109,1902.352385,1926.898867,98068200
10/7/2020,1910.534546,1918.716707,1885.988064,1890.079144,48203400
10/8/2020,1910.534546,1930.989948,1902.352385,1930.989948,42166800
10/9/2020,1898.261108,1922.807588,1890.078948,1922.807588,51010400
10/12/2020,1910.534546,1926.898867,1906.443466,1918.716707,63289000
10/13/2020,1947.354126,1955.536286,1890.079005,1910.534405,90512400
10/14/2020,2025.084839,2025.084839,1947.35431,1947.35431,133840600
10/15/2020,1955.536499,2025.084868,1955.536499,2025.084868,106439400
10/16/2020,1967.809448,1988.264848,1947.354049,1984.173768,54115000
10/19/2020,2000.538208,2004.629288,1971.900647,1984.173887,73015200
10/20/2020,1967.809448,2000.538088,1967.809448,1992.355928,57256800
10/21/2020,1996.447144,2016.902545,1984.173903,1984.173903,89392600
10/22/2020,1988.265137,1996.447298,1975.991895,1975.991895,44578200
10/23/2020,1984.173706,2004.629105,1980.082626,1988.264786,46222200
10/26/2020,1984.173706,2012.811265,1975.991546,1992.355866,112967200
10/27/2020,1939.172241,1984.174129,1935.081161,1963.718725,176476000
11/2/2020,1906.443481,1926.898884,1877.805918,1922.807803,145155000
11/3/2020,1910.534546,1939.172109,1906.443466,1922.807787,89949600
11/4/2020,1890.079224,1930.990029,1881.897062,1922.807868,70802200
11/5/2020,1975.991821,1984.173982,1914.625616,1930.989937,180563400
11/6/2020,2029.175659,2055.767679,1951.44514,1988.26486,240710000
11/9/2020,2086.451172,2106.906576,2045.540365,2065.995768,166734000
11/10/2020,2178.500244,2188.727945,2127.361741,2147.817142,251065000
11/11/2020,2239.866455,2260.321856,2178.500251,2198.955652,214751400
11/12/2020,2198.955811,2270.549721,2168.272706,2270.549721,133987600
11/13/2020,2311.460205,2331.915605,2158.044705,2178.500105,198407400
11/16/2020,2321.687988,2393.281891,2311.460288,2352.371089,173760800
11/17/2020,2352.371338,2372.826741,2321.688233,2352.371338,126882200
11/18/2020,2342.143555,2362.598957,2311.460451,2352.371256,97499400
11/19/2020,2352.371338,2372.826741,2311.460532,2321.688233,122667200
11/20/2020,2321.687988,2372.82649,2311.460288,2331.915689,106282800
11/23/2020,2413.737549,2444.420653,2301.232833,2321.688236,165072200
11/24/2020,2434.192871,2444.420572,2413.737469,2444.420572,123975400
11/25/2020,2475.10376,2526.242267,2454.648357,2454.648357,202412800
11/26/2020,2577.380615,2597.836017,2464.875906,2475.103607,133546200
11/27/2020,2597.836182,2608.063883,2536.469973,2577.380779,129836400
11/30/2020,2454.648438,2597.836263,2434.193034,2597.836263,320814200
12/1/2020,2556.925049,2556.925049,2423.964946,2485.331147,199570600
12/2/2020,2597.836182,2608.063883,2536.469973,2577.380779,103987400
12/3/2020,2597.836182,2659.202391,2577.380779,2608.063883,128300400
12/4/2020,2597.836182,2628.519286,2536.469973,2587.60848,87823400
12/7/2020,2720.568359,2730.79606,2638.746755,2659.202156,121274800
12/8/2020,2720.568359,2741.023761,2679.657557,2720.568359,70337400
12/10/2020,2700.113037,2741.023841,2689.885336,2720.568439,97416000
12/11/2020,2689.885254,2741.023757,2679.657553,2720.568356,62718600
12/14/2020,2689.885254,2710.340655,2638.746751,2689.885254,118385600
12/15/2020,2659.202148,2679.65755,2638.746747,2669.429849,83508200
12/16/2020,2730.796143,2730.796143,2679.657638,2679.657638,98639200
12/17/2020,2730.796143,2761.479245,2700.11304,2741.023843,81480800
12/18/2020,2720.568359,2741.023761,2700.112958,2710.340659,56371400
12/21/2020,2700.113037,2751.251542,2689.885336,2730.79614,68494800
12/22/2020,2577.380615,2689.885325,2567.152914,2669.429923,127411600
12/23/2020,2556.925049,2628.51895,2434.192646,2577.380449,111054800
12/28/2020,2638.746826,2638.746826,2516.014416,2618.291424,61917400
12/29/2020,2577.380615,2648.974521,2556.925214,2638.74682,51736600
12/30/2020,2526.241943,2597.835845,2516.014243,2577.380444,76480000
1/4/2021,2608.063965,2618.291667,2495.559245,2556.925456,81711400
1/5/2021,2659.202148,2659.202148,2577.380544,2618.291346,68509200
1/6/2021,2618.291504,2679.657711,2536.469894,2669.43001,74299600
